pnl_rank,wallet,total_pnl,sell_ratio_pct,roi_pct,launchlab_pct,unique_tokens,total_trades,sell_bias_score,roi_score,launchlab_score,diversity_score,gaming_score,risk_level,penalty_multiplier,adjusted_pnl
1,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,25971.74,31.6,24.5,98.0,194,1426,0,0,25,0,25,Low Risk,0.90,23374.57
2,6pkPgzD8LeNbaiD86DYAQtFHfvCMkiLVscyyi4E5NcyY,19530.35,54.2,1608.4,8.3,2,24,0,25,0,25,50,Moderate Risk,0.70,13671.25
3,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,13601.54,47.5,88.1,36.1,13,61,0,0,0,0,0,Clean,1.00,13601.54
4,4NtyFqqRzvHWsTmJZoT26H9xtL7asWGTxpcpCxiKax9a,11568.40,73.3,137.3,20.0,4,45,0,0,0,20,20,Clean,1.00,11568.40
5,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,10807.03,76.2,101.2,0.0,2,206,0,0,0,25,25,Low Risk,0.90,9726.33
6,ExggwHcHhg67jgR6oyUiZxq7RhsYDhSkAeSkN2W9VBHH,10356.27,59.3,112.9,0.0,4,54,0,0,0,20,20,Clean,1.00,10356.27
7,5CWn9gFtdLSKzSELvhPufwqaky73LU9pyW5VQ6xJA7Ye,9728.83,59.3,93.2,84.0,35,162,0,0,10,0,10,Clean,1.00,9728.83
8,BTZJRdccNMrF1tdwjSk9K369udDJpk8mxrZNP2U7vAxY,9149.73,43.8,33.8,48.8,11,80,0,0,0,0,0,Clean,1.00,9149.73
9,4QodqLUiQ57XF3W2X6AjYhKW2NGUuVdreGLQJkbWkVa2,7893.88,72.5,137.7,0.0,3,40,0,0,0,20,20,Clean,1.00,7893.88
10,JCLqyRAzLy2otp1mUkgaHpJkNRrQ5Xf1hQakn7m1oRQJ,7125.27,59.4,36.9,79.7,35,187,0,0,0,0,0,Clean,1.00,7125.27
11,ETvmkav36qmxXViTNzuEc29hjdhnbaMQ9WYJifeH4AhN,6744.97,68.5,73.8,35.1,15,111,0,0,0,0,0,Clean,1.00,6744.97
12,5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,6561.62,26.8,59.3,83.8,30,228,0,0,10,0,10,Clean,1.00,6561.62
13,FcBdvzv2WkdDaUSbqzRLx1Xbp3rhNmNPM4PtGuoBg9Qy,6111.38,51.4,177.4,30.6,12,144,0,0,0,0,0,Clean,1.00,6111.38
14,TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,5760.75,38.2,28.4,32.9,14,76,0,0,0,0,0,Clean,1.00,5760.75
15,cfevhbEExWCaAG1gSkNhTCY6iPnLsz3ebJKgT1qUqz4,5508.02,58.7,55.2,89.7,35,155,0,0,15,0,15,Clean,1.00,5508.02
16,2p2mgFLmzN82sShZeAaBGmj9zFpam4xu8g4g3wqx2ks6,5330.60,75.7,83.2,37.8,7,37,0,0,0,10,10,Clean,1.00,5330.60
17,FT7P2aR1UQdGfz6NNXDgBH4U4Sr4Nh7anwBDFg1iHXoY,5311.52,60.5,94.1,67.9,26,81,0,0,0,0,0,Clean,1.00,5311.52
18,5siYF3h8FLK5W9FexFsr4wR6ijS6J3dYb5FMqAQhtnbo,5115.50,70.4,99.2,48.1,11,81,0,0,0,0,0,Clean,1.00,5115.50
19,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,4888.34,22.5,25.9,94.8,159,1038,0,0,20,0,20,Clean,1.00,4888.34
20,29fMnkfzGMzHqocaUM4758rmJz6jb5eskvZnSmG85qQu,4650.15,61.1,647.5,5.6,3,54,0,20,0,25,45,Moderate Risk,0.70,3255.11
21,GZPYq37cr9Gibj9GV7f686LSZTCKSCJfVy9xTrwahX5W,4539.15,62.5,266.9,25.0,1,8,0,5,0,25,30,Low Risk,0.90,4085.24
22,EPiapTxAEij66LsPG6Fvzjx9s1hfaU1rRqXiKPuxSwjZ,4508.21,45.1,43.6,93.5,23,153,0,0,20,0,20,Clean,1.00,4508.21
23,GLuT8cExuCdBKuePZrGuPn41vtpPvDnNqjduin1TgEq7,4263.49,65.1,65.1,44.2,14,86,0,0,0,0,0,Clean,1.00,4263.49
24,Gzi1PgCiDByDGc7DKFYB7iKZCbL8QFJn2NzV3bexVUs4,4241.39,42.6,49.1,34.5,12,148,0,0,0,0,0,Clean,1.00,4241.39
25,6opRaVh5ZDuG9TUdhqm6gZrHHcVQJxXFSFz4zXayCasi,4164.00,61.5,84.7,61.5,2,39,0,0,0,25,25,Low Risk,0.90,3747.60
26,B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,3918.80,50.0,17.9,48.3,17,58,0,0,0,0,0,Clean,1.00,3918.80
27,9LxMdvs1m8QRFvFuhvzzMXykAkpaHTJhktULdpBztUMm,3828.74,48.3,25.5,58.6,19,58,0,0,0,0,0,Clean,1.00,3828.74
28,GBJxfXw7TvLxzb9jZZzcohN1LEydYp73eay69547Pk9p,3736.97,44.9,44.0,93.4,23,136,0,0,20,0,20,Clean,1.00,3736.97
29,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,3692.17,21.9,28.2,99.5,61,388,0,0,25,0,25,Low Risk,0.90,3322.95
30,FJyFzGMFyJALfd7R9PANSZY7WjPbhV4p6HmsHcp5hPG1,3600.48,88.9,2869.2,11.1,1,9,15,25,0,25,65,High Risk,0.40,1440.19
31,JCD21JG4qQJg4oC8mXJ9mJWMF2R7PYA81vZ6CPVaX96H,3594.59,26.1,27.5,99.3,61,410,0,0,25,0,25,Low Risk,0.90,3235.13
32,J2zVGkfkMN6M2WXC8ERXSV2TNx3RYfWpEK8soUYmJK2j,3592.63,74.1,63.7,0.0,2,27,0,0,0,20,20,Clean,1.00,3592.63
33,AnrR8mHZJuePcsuAEoXp1ugEZMgfjCK5nqE4JJct4KfS,3560.93,77.9,214.0,0.0,1,68,0,5,0,25,30,Low Risk,0.90,3204.84
34,AGbU8n6PSTbFezgHhHfjdRHYyjpBXP8uwGzVraUNUwZj,3335.63,71.4,74.1,0.0,2,28,0,0,0,20,20,Clean,1.00,3335.63
35,J2L495ZPcJ6Btuyd4YqXz5uw7hpKiQXGcLvALwumabED,3283.22,42.4,9.7,96.5,127,373,0,0,25,0,25,Low Risk,0.90,2954.90
36,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,3256.92,25.7,9.6,96.0,155,970,0,0,25,0,25,Low Risk,0.90,2931.23
37,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,3148.85,58.6,15.9,81.3,43,128,0,0,10,0,10,Clean,1.00,3148.85
38,GrNyJKLqcGwE2tmecq2NUaRf7pPpkdtAe2ggFD45Atnq,3051.15,60.6,74.1,48.5,5,33,0,0,0,15,15,Clean,1.00,3051.15
39,59EEFfq3thxqvMH1mH2538hoGXQAi8fPEc6mYkdugs2s,3004.66,26.0,22.8,99.3,61,411,0,0,25,0,25,Low Risk,0.90,2704.19
40,5VmT4H2WYwKD1A87U9znDvfUJ7x7dGgKPhzUQgs1i6ND,2998.77,81.1,820.7,28.3,6,53,10,25,0,15,50,Moderate Risk,0.70,2099.14
41,G6yjeomh5NBC765BPDvWdDmyAmfvx687bPqnBVbmEfpr,2965.61,61.5,115.5,42.3,7,26,0,0,0,10,10,Clean,1.00,2965.61
42,6SHgXVvhZn188VKeBHoHtFPPqAyCLioJaetcj84wZcaR,2920.38,36.6,38.5,77.9,21,131,0,0,0,0,0,Clean,1.00,2920.38
43,FVR1vbzxM39eKgLev6iTEYyecBSkzvwEovPutzNhBg7v,2855.57,33.3,116.0,17.5,7,63,0,0,0,0,0,Clean,1.00,2855.57
44,79eMVGwFUS1aVAzDBcPF5tkbW9mJyMuxssaAmRdC71RR,2839.11,46.5,55.6,54.5,19,101,0,0,0,0,0,Clean,1.00,2839.11
45,FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,2721.68,25.7,7.8,95.9,157,985,0,0,25,0,25,Low Risk,0.90,2449.51
46,FRa5xvWrvgYBHEukozdhJPCJRuJZcTn2WKj2u6L75Rmj,2679.02,72.2,84.9,27.8,3,18,0,0,0,20,20,Clean,1.00,2679.02
47,E7xBqxVAUurUbuhuGgkLX8GLmGEMR8dJUUFicidLpg2r,2666.73,75.0,318.1,58.3,2,24,0,10,0,20,30,Low Risk,0.90,2400.06
48,FsTD5usSSfut1dcSufZAbWfBcj6dxAN1SXRmiH6tT8gx,2659.01,58.1,15.2,30.2,6,43,0,0,0,10,10,Clean,1.00,2659.01
49,4rYchPP9facRZyE9mFev8dSLs4ThGGegrtKjgDixgyaU,2654.69,43.4,21.1,92.2,41,166,0,0,20,0,20,Clean,1.00,2654.69
50,1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,2638.78,80.6,116.9,91.7,7,36,10,0,15,10,35,Low Risk,0.90,2374.90
