pnl_rank,wallet,total_pnl,total_volume,unique_tokens,total_trades,buy_count,sell_count,usd_invested,usd_received,sell_ratio_pct,roi_pct,launchlab_trades,launchlab_pct,avg_hold_seconds,risk_assessment
1,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,25971.74,245373.58,194,1426,975,451,110315.27,137300.34,31.6,24.5,1398,98.0,20.6,MODERATE - High LaunchLab concentration
2,6pkPgzD8LeNbaiD86DYAQtFHfvCMkiLVscyyi4E5NcyY,19530.35,21933.54,2,24,11,13,1212.84,20720.70,54.2,1608.4,2,8.3,15630.4,HIGH RISK - Extreme ROI on limited tokens
3,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,13601.54,46079.07,13,61,32,29,16182.47,30445.14,47.5,88.1,22,36.1,1711.8,LOW RISK - Normal trading pattern
4,4NtyFqqRzvHWsTmJZoT26H9xtL7asWGTxpcpCxiKax9a,11568.40,28425.53,4,45,12,33,8428.57,19996.97,73.3,137.3,9,20.0,453.8,MODERATE - High sell ratio
5,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,10807.03,87391.05,2,206,49,157,29013.43,58377.62,76.2,101.2,0,0.0,1554.5,LOW RISK - Legitimate DCA selling
6,ExggwHcHhg67jgR6oyUiZxq7RhsYDhSkAeSkN2W9VBHH,10356.27,28695.10,4,54,22,32,9169.42,19525.68,59.3,112.9,0,0.0,5567.7,LOW RISK - Normal trading pattern
7,5CWn9gFtdLSKzSELvhPufwqaky73LU9pyW5VQ6xJA7Ye,9728.83,30602.22,35,162,66,96,10436.69,20165.52,59.3,93.2,136,84.0,46.4,MODERATE - High LaunchLab concentration
8,BTZJRdccNMrF1tdwjSk9K369udDJpk8mxrZNP2U7vAxY,9149.73,35636.28,11,80,45,35,15242.14,20394.14,43.8,33.8,39,48.8,2350.6,LOW RISK - Normal trading pattern
9,4QodqLUiQ57XF3W2X6AjYhKW2NGUuVdreGLQJkbWkVa2,7893.88,19362.83,3,40,11,29,5734.47,13628.35,72.5,137.7,0,0.0,35601.5,LOW RISK - High hold time
10,JCLqyRAzLy2otp1mUkgaHpJkNRrQ5Xf1hQakn7m1oRQJ,7125.27,45748.32,35,187,76,111,19311.52,26436.80,59.4,36.9,149,79.7,42.2,MODERATE - High LaunchLab concentration
